cal_r,cal_g,cal_b,L_star,a_star,b_star,hue,sat,val,delta_e,temperature_c,humidity_pct,strip_age_days,dose_ppm_min
107.35,85.68,66.87,38.12,6.0,14.35,28.0,37.3,42.0,58.39,32.9,70.7,58.0,837.2
151.15,134.35,107.75,56.9,2.06,16.66,36.0,28.6,59.2,39.87,31.1,56.8,17.2,474.5
226.6,218.6,198.42,87.4,-0.64,10.9,44.0,12.9,89.0,8.88,22.0,74.4,45.7,73.8
125.6,105.66,82.5,45.99,4.24,15.97,32.0,34.1,49.4,50.63,20.9,37.0,25.1,782.9
72.88,56.27,38.29,24.98,4.53,14.03,30.0,47.8,28.6,71.31,23.9,53.5,56.5,1531.8
72.56,54.59,37.83,24.42,5.41,13.59,30.0,47.8,28.6,71.89,32.4,49.1,43.2,1439.2
244.2,241.51,220.86,95.03,-2.57,10.29,54.0,9.4,95.7,3.47,26.1,45.3,25.4,0.0
70.96,53.09,32.93,23.68,4.99,15.75,32.0,53.3,27.8,72.77,24.8,74.6,20.6,1408.3
246.15,239.69,221.03,94.73,-0.95,9.79,46.0,10.2,96.5,2.08,23.0,54.4,26.1,0.0
105.68,80.26,61.57,36.3,7.85,15.11,24.0,41.6,41.6,60.46,29.8,51.1,9.1,926.2
137.66,119.17,95.57,51.2,3.37,15.63,32.0,30.6,54.1,45.38,28.0,45.6,57.0,636.0
81.23,60.06,42.28,27.21,6.64,14.59,28.0,48.2,31.8,69.29,27.4,54.1,17.0,1266.0
113.98,98.45,73.39,42.59,2.17,16.57,36.0,36.1,44.7,53.97,18.4,65.4,38.5,835.4
238.19,235.37,213.17,92.86,-2.78,11.11,52.0,10.6,93.3,5.01,28.9,65.3,14.1,26.9
246.58,237.88,224.14,94.38,0.62,7.69,36.0,9.4,96.9,2.09,36.8,69.5,21.1,0.0
100.46,82.32,59.64,36.25,3.95,16.13,34.0,40.0,39.2,60.27,29.1,23.2,17.6,1039.6
84.52,63.0,46.04,28.54,6.81,14.03,26.0,45.9,33.3,67.94,20.8,54.1,53.4,1349.6
61.7,43.34,26.41,19.41,6.02,14.3,28.0,58.0,24.3,76.97,28.4,36.3,34.8,1900.1
84.68,67.79,49.41,30.04,4.29,13.88,32.0,42.4,33.3,66.25,15.0,63.8,23.9,1254.7
58.95,42.26,29.39,18.77,5.72,11.41,26.0,51.0,23.1,77.44,25.5,49.9,24.0,1856.2
196.8,185.1,162.49,75.58,0.38,12.97,40.0,17.6,77.3,20.8,25.5,39.1,29.6,224.1
82.02,67.16,46.63,29.49,3.05,14.85,34.0,42.7,32.2,66.82,25.9,54.8,38.2,1228.0
104.9,83.1,63.41,37.05,6.0,14.97,28.0,40.0,41.2,59.51,31.2,38.5,4.1,945.6
68.06,51.26,34.22,22.79,4.91,13.69,30.0,50.2,26.7,73.49,24.4,49.6,39.7,1547.0
221.03,214.06,196.6,85.76,-0.57,9.47,42.0,11.0,86.7,10.31,22.0,45.3,15.0,92.9
103.21,85.08,64.48,37.45,4.17,14.82,32.0,38.0,40.4,58.95,30.2,57.2,29.7,884.9
197.07,184.83,164.68,75.58,0.97,11.79,38.0,16.1,77.3,20.62,33.0,62.6,37.7,200.6
185.5,171.78,148.64,70.84,1.11,13.7,38.0,19.6,72.5,25.6,18.3,52.2,28.4,293.6
91.26,73.24,52.38,32.45,4.35,15.37,32.0,42.7,35.7,63.98,19.2,62.1,10.5,1118.7
53.05,35.67,23.68,15.82,6.47,11.29,24.0,54.9,20.8,80.43,26.2,80.8,1.4,1902.9
239.06,231.23,212.98,91.88,-0.4,9.82,42.0,11.0,93.7,4.3,22.3,49.7,28.8,27.4
84.46,66.39,48.93,29.59,5.01,13.58,30.0,41.6,32.9,66.72,29.5,47.5,3.6,1188.8
241.18,235.99,217.65,93.35,-1.34,9.51,46.0,9.4,94.5,3.27,27.1,69.2,32.4,10.5
127.36,106.85,85.88,46.57,4.77,14.8,30.0,32.2,49.8,49.95,27.5,62.4,36.5,664.1
239.4,231.32,213.0,91.93,-0.32,9.89,42.0,11.0,93.7,4.25,28.1,57.2,36.9,25.9
64.74,50.27,33.57,22.06,3.82,13.09,30.0,47.8,25.5,74.13,27.5,45.7,3.7,1613.5
189.93,177.7,153.86,72.88,0.41,13.77,40.0,18.8,74.5,23.61,18.5,54.4,46.0,276.1
189.85,178.01,154.05,72.96,0.25,13.78,40.0,18.8,74.5,23.53,20.8,38.0,14.5,280.8
136.1,117.43,94.95,50.56,3.62,15.09,32.0,30.2,53.3,45.95,31.8,44.1,8.1,595.6
73.37,55.65,38.28,24.85,5.17,13.88,30.0,47.8,28.6,71.47,18.8,63.4,10.9,1450.6
99.87,81.53,60.83,35.99,4.33,15.03,32.0,38.8,39.2,60.43,27.1,77.7,22.1,906.3
197.11,182.44,157.55,74.81,1.16,14.56,36.0,19.6,77.3,21.92,23.4,54.1,59.1,245.0
95.82,75.9,55.38,33.8,5.21,15.39,30.0,42.7,37.6,62.7,31.3,44.2,35.3,1035.2
191.71,177.98,153.69,73.11,0.91,14.2,38.0,19.6,75.3,23.48,28.7,50.1,56.3,256.9
109.05,90.36,69.14,39.68,4.24,15.12,32.0,36.9,42.7,56.77,33.4,22.1,33.8,914.9
145.35,123.2,101.51,53.19,5.11,15.04,30.0,29.8,56.9,43.48,24.1,62.0,2.3,550.3
243.54,239.94,221.52,94.6,-1.9,9.33,50.0,9.0,95.7,2.8,30.1,58.3,50.4,0.0
152.22,133.84,108.54,56.88,2.9,16.2,34.0,28.2,59.6,39.85,24.3,60.1,36.5,498.1
62.21,43.38,28.9,19.54,6.55,12.83,26.0,53.3,24.3,76.79,26.6,51.4,33.7,1729.8
219.96,210.91,192.78,84.79,0.07,10.09,40.0,12.2,86.3,11.27,30.3,45.2,18.7,99.7
243.24,241.24,220.97,94.89,-2.75,10.03,54.0,9.0,95.3,3.59,29.9,50.0,14.4,0.0
139.29,125.18,101.17,53.14,1.41,15.07,38.0,27.5,54.5,43.3,34.0,50.2,50.3,547.1
125.06,104.89,82.75,45.73,4.49,15.45,32.0,33.7,49.0,50.84,32.5,32.4,29.0,728.2
56.23,41.93,27.14,18.27,4.26,12.21,32.0,51.8,22.0,77.89,19.9,63.6,18.8,1882.2
70.02,49.88,35.29,22.65,6.92,12.85,26.0,49.8,27.5,73.73,30.1,33.3,22.6,1571.8
195.57,183.63,160.72,75.06,0.43,13.18,40.0,18.0,76.9,21.35,33.6,60.0,11.3,204.2
90.05,72.53,51.46,32.09,4.11,15.43,34.0,43.1,35.3,64.33,26.5,50.3,23.7,1110.7
78.0,57.86,42.52,26.16,6.54,12.98,26.0,44.7,30.6,70.21,26.8,51.5,53.8,1412.4
71.69,52.66,36.77,23.72,6.1,13.33,28.0,48.6,28.2,72.63,25.4,54.4,58.5,1582.6
173.65,159.32,135.09,66.23,1.24,14.55,36.0,22.4,68.2,30.29,28.4,65.2,11.0,324.4
120.63,105.59,80.69,45.43,1.88,16.2,38.0,32.9,47.5,51.1,31.9,70.7,5.3,665.8
236.62,231.26,213.08,91.7,-1.25,9.49,46.0,10.2,92.9,4.67,30.6,38.9,23.1,33.4
81.97,62.1,44.1,27.93,5.92,14.4,28.0,46.3,32.2,68.5,22.8,42.7,7.1,1348.3
126.98,106.96,83.7,46.52,4.24,16.01,32.0,33.7,49.8,50.11,23.5,65.7,48.2,712.6
57.73,40.68,26.86,18.07,5.84,12.17,28.0,53.3,22.7,78.18,28.1,64.5,7.4,1800.6
106.61,86.86,67.6,38.39,5.05,14.26,30.0,36.5,42.0,58.03,31.6,57.1,28.2,849.4
115.33,97.18,74.64,42.39,3.69,15.58,34.0,34.9,45.1,54.11,30.6,71.5,4.7,725.3
122.63,102.71,80.67,44.82,4.44,15.42,32.0,34.1,48.2,51.73,20.5,48.5,26.2,778.6
90.76,73.63,55.05,32.56,4.24,13.84,32.0,39.6,35.7,63.73,27.0,20.6,3.9,1187.9
72.64,54.96,39.94,24.59,5.49,12.44,28.0,45.1,28.6,71.67,23.8,55.0,49.7,1509.8
76.75,56.3,41.7,25.53,6.83,12.64,24.0,45.5,30.2,70.85,31.6,44.5,44.2,1344.8
122.15,101.86,79.83,44.52,4.62,15.49,32.0,34.5,47.8,52.05,19.9,74.4,47.3,744.1
95.18,75.39,58.88,33.65,5.71,13.01,26.0,38.0,37.3,62.7,33.6,81.8,40.4,919.4
107.87,88.7,67.56,39.05,4.5,15.19,32.0,36.9,42.4,57.42,27.0,80.4,33.7,808.7
172.18,156.05,132.19,65.17,2.02,14.66,36.0,23.1,67.5,31.38,27.7,85.0,11.9,324.2
239.5,234.57,214.98,92.8,-1.63,10.1,50.0,10.2,93.7,4.0,22.3,56.3,3.4,26.3
203.25,190.94,168.18,77.76,0.57,13.05,40.0,17.3,79.6,18.68,28.4,40.9,3.4,189.8
62.09,46.09,30.08,20.37,4.82,13.13,30.0,51.8,24.3,75.87,21.5,35.2,46.2,1889.9
214.24,202.3,180.73,81.86,0.58,12.27,38.0,15.3,83.9,14.51,30.1,63.9,40.3,130.3
74.53,59.16,40.95,26.1,3.81,13.83,32.0,45.5,29.4,70.14,34.6,65.6,18.6,1227.9
68.08,49.84,35.53,22.39,6.02,12.31,26.0,47.1,26.7,73.89,33.6,59.6,45.4,1486.3
64.7,46.76,33.22,20.98,6.09,11.89,26.0,49.4,25.5,75.28,19.3,48.5,22.5,1739.8
142.79,124.78,101.06,53.36,3.08,15.5,34.0,29.4,56.1,43.21,24.0,52.8,57.2,607.1
202.17,191.59,171.03,77.9,0.27,11.7,40.0,15.3,79.2,18.3,28.8,85.0,36.2,167.3
83.29,62.43,43.71,28.18,6.29,15.0,28.0,47.1,32.5,68.33,37.4,72.7,13.9,1074.1
212.98,200.95,180.29,81.4,0.76,11.83,38.0,15.7,83.5,14.87,29.3,61.3,12.3,134.2
158.23,141.59,115.64,59.68,2.03,16.13,38.0,26.7,62.0,37.04,19.7,31.0,26.6,509.3
183.49,169.45,148.35,70.05,1.56,12.72,36.0,19.2,71.8,26.24,31.2,47.1,12.9,280.2
216.29,206.58,183.5,83.18,-0.47,12.68,44.0,14.9,84.7,13.37,19.6,59.6,14.4,129.0
60.82,45.2,32.31,19.98,5.07,11.09,26.0,47.5,23.9,76.19,23.8,66.1,28.6,1692.9
81.64,62.94,43.82,28.13,5.19,14.83,30.0,46.3,32.2,68.28,28.6,72.5,47.3,1215.2
72.33,52.86,36.11,23.84,6.2,13.94,28.0,50.2,28.2,72.55,23.5,66.9,36.5,1477.2
137.4,118.47,94.86,50.97,3.56,15.73,32.0,30.6,53.7,45.63,35.4,63.6,50.0,567.6
224.25,216.33,192.61,86.51,-1.23,12.67,44.0,13.7,87.8,10.32,33.9,64.1,44.6,83.2
197.67,181.43,160.06,74.65,2.29,12.98,34.0,19.2,77.6,21.79,24.4,44.9,1.3,235.2
246.61,241.0,221.09,95.09,-1.44,10.28,46.0,10.6,96.9,2.5,31.1,59.7,39.1,0.0
140.34,122.23,98.25,52.36,3.11,15.71,34.0,30.2,54.9,44.23,32.4,65.7,4.3,530.8
136.4,116.46,92.04,50.26,3.89,16.38,32.0,32.5,53.3,46.46,16.9,54.0,4.7,673.8
190.99,178.09,156.18,73.13,0.96,12.86,38.0,18.4,74.9,23.2,24.9,58.6,34.8,247.3
77.99,60.59,45.14,27.03,5.12,12.44,30.0,42.4,30.6,69.21,17.4,54.3,54.8,1475.6
83.93,63.45,46.74,28.62,6.33,13.67,26.0,43.9,32.9,67.79,26.2,58.5,15.0,1228.6
245.07,240.8,221.99,94.95,-1.73,9.59,50.0,9.4,96.1,2.53,32.1,58.7,16.0,0.0
111.91,92.78,71.79,40.73,4.42,14.98,32.0,35.7,43.9,55.73,26.3,52.0,47.4,861.0
56.17,40.86,29.09,17.97,5.23,10.48,26.0,48.2,22.0,78.19,36.4,68.8,58.9,1764.2
216.42,206.41,185.74,83.2,0.02,11.52,40.0,13.7,84.7,13.05,20.2,35.6,40.7,141.5
58.3,43.37,29.59,19.04,4.67,11.61,28.0,48.2,22.7,77.12,18.3,69.3,31.6,1822.2
62.46,46.19,32.4,20.5,5.24,11.75,28.0,48.2,24.3,75.7,34.4,36.0,1.1,1703.8
81.96,63.84,44.09,28.44,4.8,15.08,32.0,46.3,32.2,67.97,25.1,66.1,58.3,1301.4
121.47,103.46,78.88,44.88,3.25,16.53,34.0,34.9,47.5,51.74,21.3,66.3,11.4,740.2
117.22,100.15,76.02,43.45,2.95,16.23,36.0,34.9,45.9,53.1,24.2,56.2,55.8,812.7
82.88,64.63,46.2,28.83,5.01,14.27,30.0,44.7,32.5,67.53,33.6,43.7,10.2,1197.0
170.7,153.36,128.66,64.24,2.39,15.32,34.0,24.7,67.1,32.44,28.0,39.0,20.2,381.5
59.19,45.47,28.62,19.78,3.58,13.26,32.0,51.0,23.1,76.4,27.8,70.6,23.7,1662.9
186.87,173.31,149.42,71.38,0.93,14.04,38.0,20.4,73.3,25.13,24.0,61.8,29.9,272.5
64.79,48.28,34.15,21.47,5.25,11.92,28.0,47.8,25.5,74.74,27.1,42.2,38.4,1721.8
173.86,157.25,134.26,65.68,2.33,14.25,34.0,23.1,68.2,30.83,30.0,66.1,53.9,342.9
236.8,231.87,211.98,91.85,-1.68,10.27,48.0,10.6,92.9,4.86,22.2,44.4,42.8,32.5
247.8,239.02,220.7,94.68,-0.08,9.91,40.0,11.0,97.3,1.7,28.1,72.0,27.0,0.0
107.95,89.78,67.6,39.36,3.88,15.6,34.0,36.9,42.4,57.12,24.0,51.9,37.3,908.6
244.53,238.0,221.07,94.19,-0.64,8.97,42.0,9.8,96.1,2.14,24.7,62.1,25.9,0.0
56.3,41.47,28.22,18.16,4.75,11.33,28.0,49.8,22.0,77.99,23.9,55.9,43.0,1938.5
243.49,239.42,221.64,94.47,-1.64,9.08,48.0,8.6,95.3,2.63,30.2,55.1,37.7,0.0
233.13,228.37,208.93,90.61,-1.67,10.05,48.0,10.2,91.4,5.9,25.8,55.9,27.2,43.1
71.73,53.66,36.64,24.02,5.45,13.81,30.0,48.6,28.2,72.31,23.6,65.2,8.9,1448.2
68.76,51.47,34.14,22.94,5.11,13.96,30.0,50.6,27.1,73.37,27.8,46.4,42.1,1578.6
221.57,212.9,192.35,85.41,-0.45,11.22,42.0,13.3,87.1,10.86,23.1,28.5,22.3,110.0
65.43,47.5,30.71,21.24,5.64,13.92,30.0,52.2,25.5,75.1,21.4,54.2,22.8,1712.7
54.09,38.93,26.32,17.03,5.11,11.09,28.0,51.8,21.2,79.13,32.0,53.1,5.1,1906.1
166.77,153.48,126.66,63.88,0.48,15.88,40.0,23.9,65.5,32.85,30.7,48.0,51.5,401.9
121.32,103.34,80.61,44.86,3.49,15.48,34.0,32.9,47.5,51.64,20.7,45.7,49.6,813.6
202.13,189.2,167.05,77.19,0.9,12.85,38.0,17.3,79.2,19.2,32.8,50.9,50.5,194.8
145.43,128.53,102.26,54.66,2.21,16.64,38.0,29.8,56.9,42.07,25.4,44.9,7.1,556.9
71.46,53.04,37.35,23.81,5.82,13.07,28.0,47.8,27.8,72.5,25.0,56.9,4.8,1454.9
138.94,120.22,95.93,51.63,3.35,16.03,34.0,31.0,54.5,45.01,28.9,66.2,54.5,583.8
245.82,240.46,221.9,94.92,-1.32,9.6,46.0,9.8,96.5,2.2,29.6,51.0,57.2,0.0
159.55,143.46,117.05,60.33,1.72,16.25,36.0,27.1,62.7,36.42,21.1,52.4,47.5,476.9
99.97,80.79,59.96,35.77,4.71,15.28,32.0,40.0,39.2,60.7,24.2,72.4,58.1,994.8
48.29,35.03,25.27,15.01,4.67,8.99,26.0,47.8,18.8,81.1,30.6,85.0,9.4,1928.0
240.17,238.44,215.81,93.84,-3.23,11.16,56.0,10.2,94.1,4.82,30.2,20.0,25.4,11.4
107.24,87.03,65.68,38.47,4.97,15.54,30.0,38.4,42.0,58.07,33.2,54.9,15.3,854.6
67.01,45.1,30.71,20.74,8.03,13.3,24.0,53.7,26.3,75.76,25.7,32.7,6.2,1728.5
63.07,49.14,33.63,21.51,3.75,12.29,32.0,45.9,24.7,74.63,23.3,35.9,52.9,1829.6
245.01,240.23,222.48,94.81,-1.38,9.14,46.0,9.4,96.1,2.23,25.0,52.9,7.7,0.0
136.09,118.26,93.94,50.77,2.99,15.96,34.0,31.0,53.3,45.83,29.3,51.8,25.4,596.3
57.48,41.19,27.72,18.21,5.48,11.77,26.0,51.0,22.4,78.0,24.4,61.3,50.0,1923.3
93.78,72.81,55.99,32.69,6.28,13.47,26.0,40.4,36.9,63.73,25.2,35.3,31.9,1153.6
205.01,193.02,169.57,78.47,0.34,13.33,40.0,17.3,80.4,18.06,25.9,44.5,50.9,200.3
65.6,47.56,34.63,21.36,6.19,11.49,26.0,47.1,25.9,74.9,23.1,76.7,32.0,1601.4
63.54,48.66,32.87,21.4,4.2,12.66,30.0,48.6,25.1,74.78,29.4,50.2,6.7,1626.0
97.58,78.1,56.43,34.65,4.8,15.91,32.0,42.7,38.4,61.89,28.1,43.1,17.0,1032.8
133.14,116.81,93.47,50.07,2.52,15.23,36.0,30.2,52.2,46.39,32.8,20.0,47.3,670.9
245.97,240.02,225.47,94.9,-0.46,7.74,42.0,8.6,96.5,1.93,25.5,67.4,35.3,0.0
133.71,111.93,87.48,48.65,4.75,16.8,32.0,34.9,52.5,48.18,28.8,57.3,44.3,640.2
50.65,37.84,25.77,16.23,4.01,10.32,28.0,49.0,20.0,79.86,28.2,71.4,38.6,1966.2
