chemical_state_id,image_id,split,dose_ppm_min,cal_r,cal_g,cal_b,L_star,a_star,b_star,hue,sat,val,delta_e,uniformity_score,noise_std,temperature_c,humidity_pct,strip_age_days
CHEM-TR-0005,img_train_0005_var02,train,811.46,108.9,92.0,71.9,40.2,3.57,14.15,34.0,34.1,42.4,56.12,0.1,34.81,30.8,73.1,19.7
CHEM-TR-0005,img_train_0005_var03,train,811.46,101.6,84.3,18.6,36.43,-0.27,38.34,48.0,82.4,39.6,66.41,0.1,44.53,22.7,67.5,11.9
CHEM-TR-0005,img_train_0005_var04,train,811.46,114.5,93.0,72.2,41.07,5.46,15.26,30.0,36.9,44.7,55.51,0.1,47.82,24.6,54.2,33.8
CHEM-TR-0005,img_train_0005_var05,train,811.46,114.3,94.4,73.2,41.47,4.69,15.21,30.0,36.1,44.7,55.04,0.959,1.44,34.7,69.2,25.2
CHEM-TR-0005,img_train_0005_var06,train,811.46,115.0,96.0,73.5,41.99,4.09,15.72,32.0,36.1,44.7,54.54,0.984,0.54,32.1,57.5,31.4
CHEM-TR-0005,img_train_0005_var07,train,811.46,113.6,95.0,72.8,41.55,3.97,15.51,32.0,36.5,44.3,54.95,0.228,27.02,29.2,34.0,29.7
CHEM-TR-0005,img_train_0005_var08,train,811.46,117.0,105.0,91.0,45.14,2.26,9.6,32.0,22.4,45.9,50.89,0.1,36.72,30.9,76.6,18.8
CHEM-TR-0005,img_train_0005_var09,train,811.46,109.0,92.7,71.2,40.39,3.09,14.79,34.0,34.1,42.4,55.97,0.1,33.27,21.8,71.2,8.6
CHEM-TR-0005,img_train_0005_var10,train,811.46,114.7,95.1,73.3,41.71,4.44,15.48,32.0,36.1,44.7,54.82,0.1,37.5,24.3,65.8,22.5
CHEM-TR-0006,img_train_0006_var01,train,978.87,96.0,78.3,58.8,34.57,4.3,14.34,32.0,39.6,37.6,61.78,0.1,43.62,33.6,79.4,20.6
CHEM-TR-0006,img_train_0006_var02,train,978.87,100.0,81.5,59.7,35.96,4.3,15.69,32.0,41.2,39.2,60.53,0.979,0.74,24.2,44.0,32.0
CHEM-TR-0006,img_train_0006_var03,train,978.87,101.2,92.6,129.2,41.42,11.71,-19.22,254.0,28.6,50.6,62.46,0.984,0.56,26.1,71.4,30.8
CHEM-TR-0006,img_train_0006_var04,train,978.87,100.3,79.6,58.8,35.44,5.42,15.57,30.0,42.0,39.2,61.11,0.986,0.47,30.3,39.3,38.6
CHEM-TR-0006,img_train_0006_var05,train,978.87,99.6,79.9,59.7,35.48,5.05,15.05,30.0,40.4,38.8,60.99,0.959,1.44,24.5,46.1,9.7
CHEM-TR-0006,img_train_0006_var06,train,978.87,95.0,77.8,58.0,34.3,4.01,14.44,32.0,39.2,36.9,62.04,0.1,44.2,28.4,31.0,17.6
CHEM-TR-0006,img_train_0006_var07,train,978.87,100.2,81.5,58.4,35.95,4.19,16.47,32.0,42.0,39.2,60.63,0.154,29.62,24.9,41.2,4.7
CHEM-TR-0006,img_train_0006_var08,train,978.87,101.0,89.0,75.0,38.59,2.4,9.9,32.0,25.9,39.6,57.45,0.1,40.76,19.8,71.7,12.1
CHEM-TR-0006,img_train_0006_var09,train,978.87,95.5,77.9,57.9,34.4,4.18,14.62,32.0,40.0,37.3,61.97,0.1,39.16,34.2,50.3,33.8
CHEM-TR-0006,img_train_0006_var10,train,978.87,91.1,72.7,52.1,32.27,4.59,15.27,30.0,42.7,35.7,64.17,0.1,41.86,22.0,41.2,21.5
CHEM-TR-0007,img_train_0007_var01,train,373.46,170.3,154.4,129.3,64.49,1.75,15.29,36.0,24.3,66.7,32.16,0.983,0.58,32.4,65.0,24.6
CHEM-TR-0007,img_train_0007_var02,train,373.46,173.5,153.1,130.1,64.47,3.82,14.89,32.0,24.7,67.8,32.25,0.982,0.64,30.8,45.5,21.8
CHEM-TR-0007,img_train_0007_var03,train,373.46,183.9,183.0,242.3,76.36,12.8,-29.29,240.0,24.3,94.9,44.76,0.929,2.49,34.8,31.7,36.4
CHEM-TR-0007,img_train_0007_var04,train,373.46,179.3,158.3,137.3,66.5,4.35,13.77,30.0,23.5,70.2,30.13,0.984,0.57,22.2,55.3,22.9
CHEM-TR-0007,img_train_0007_var05,train,373.46,164.0,150.1,127.2,62.74,1.33,13.96,38.0,22.7,64.3,33.64,0.957,1.5,26.4,33.2,25.8
CHEM-TR-0007,img_train_0007_var06,train,373.46,169.8,153.9,130.1,64.34,1.94,14.62,36.0,23.1,66.3,32.19,0.324,23.64,25.1,58.3,19.6
CHEM-TR-0007,img_train_0007_var07,train,373.46,165.1,150.4,128.6,62.95,1.79,13.46,36.0,22.4,64.7,33.37,0.962,1.35,24.1,41.1,38.1
CHEM-TR-0007,img_train_0007_var08,train,373.46,173.0,162.0,156.0,67.37,2.92,4.55,22.0,9.8,67.8,29.07,0.932,2.39,19.4,49.2,10.3
CHEM-TR-0007,img_train_0007_var09,train,373.46,166.0,151.5,129.3,63.35,1.65,13.67,36.0,22.4,65.1,33.0,0.446,19.39,22.2,36.0,30.0
CHEM-TR-0007,img_train_0007_var10,train,373.46,170.6,155.5,131.7,64.86,1.62,14.5,36.0,23.1,66.7,31.64,0.982,0.62,24.8,56.5,29.5
CHEM-TR-0008,img_train_0008_var01,train,260.45,186.3,174.3,151.9,71.63,0.6,13.02,40.0,18.8,72.9,24.7,0.519,16.82,31.8,76.1,4.9
CHEM-TR-0008,img_train_0008_var02,train,260.45,185.7,173.1,151.3,71.26,0.9,12.82,38.0,18.4,72.5,25.04,0.973,0.94,28.0,45.9,19.9
CHEM-TR-0008,img_train_0008_var03,train,260.45,189.1,177.6,176.4,73.33,3.85,2.08,4.0,7.1,74.1,23.94,0.981,0.65,26.5,38.2,21.8
CHEM-TR-0008,img_train_0008_var04,train,260.45,206.1,191.2,165.7,78.0,1.15,14.73,38.0,20.0,80.8,18.9,0.995,0.19,33.4,64.3,23.0
CHEM-TR-0008,img_train_0008_var05,train,260.45,187.9,174.6,151.6,71.84,0.99,13.54,38.0,19.2,73.3,24.59,0.952,1.67,20.0,61.1,5.2
CHEM-TR-0008,img_train_0008_var06,train,260.45,185.9,173.5,151.3,71.39,0.73,13.04,38.0,18.4,72.5,24.94,0.519,16.82,25.5,40.7,35.8
CHEM-TR-0008,img_train_0008_var07,train,260.45,189.0,175.8,152.0,72.28,0.79,13.93,38.0,19.6,74.1,24.23,0.943,1.98,30.6,44.7,38.2
CHEM-TR-0008,img_train_0008_var08,train,260.45,193.0,186.0,184.0,76.02,2.1,1.89,14.0,4.7,75.7,21.27,0.982,0.63,31.8,70.2,18.7
CHEM-TR-0008,img_train_0008_var09,train,260.45,189.2,175.0,151.6,72.07,1.21,13.84,38.0,20.0,74.1,24.42,0.951,1.71,32.3,31.0,8.5
CHEM-TR-0008,img_train_0008_var10,train,260.45,185.9,173.9,152.6,71.52,0.74,12.49,38.0,17.6,72.5,24.73,0.976,0.86,27.2,67.4,6.4
CHEM-TR-0009,img_train_0009_var01,train,1453.9,65.8,50.1,34.5,22.18,4.58,12.63,30.0,47.8,25.5,74.02,0.1,54.16,30.0,31.6,16.9
CHEM-TR-0009,img_train_0009_var02,train,1453.9,66.3,50.1,33.8,22.19,4.75,13.16,30.0,49.8,25.9,74.05,0.1,50.02,28.0,77.8,17.3
CHEM-TR-0009,img_train_0009_var05,train,1453.9,70.1,53.6,35.3,23.78,4.53,14.35,30.0,49.8,27.5,72.53,0.958,1.48,19.6,57.9,27.2
CHEM-TR-0009,img_train_0009_var07,train,1453.9,65.7,49.4,32.6,21.89,4.76,13.54,30.0,50.6,25.5,74.37,0.1,32.63,33.3,32.7,16.6
CHEM-TR-0009,img_train_0009_var08,train,1453.9,103.1,75.2,86.5,35.26,13.77,-2.01,336.0,27.1,40.4,63.14,0.1,50.25,24.9,56.2,6.7
CHEM-TR-0009,img_train_0009_var09,train,1453.9,69.8,53.1,35.6,23.58,4.74,13.85,32.0,49.4,27.1,72.71,0.943,2.01,32.5,71.3,24.0
CHEM-TR-0009,img_train_0009_var10,train,1453.9,70.4,53.2,35.4,23.68,4.92,14.16,30.0,49.8,27.5,72.64,0.1,50.11,27.5,37.8,34.6
CHEM-TR-0010,img_train_0010_var01,train,312.05,176.4,162.9,141.3,67.55,1.28,13.0,36.0,20.0,69.0,28.74,0.471,18.51,20.9,50.4,13.8
CHEM-TR-0010,img_train_0010_var02,train,312.05,175.8,162.0,140.2,67.25,1.4,13.16,38.0,20.0,68.6,29.06,0.98,0.69,24.3,38.3,16.2
CHEM-TR-0010,img_train_0010_var03,train,312.05,187.0,178.9,202.5,74.23,7.34,-10.86,260.0,11.8,79.2,30.25,0.98,0.71,27.2,77.5,10.9
CHEM-TR-0010,img_train_0010_var04,train,312.05,189.7,169.8,148.7,70.69,3.82,13.51,30.0,21.6,74.1,25.92,0.985,0.52,22.8,49.6,34.7
CHEM-TR-0010,img_train_0010_var05,train,312.05,176.0,161.4,140.9,67.12,1.89,12.64,34.0,20.4,69.0,29.14,0.963,1.31,24.8,70.5,24.5
CHEM-TR-0010,img_train_0010_var06,train,312.05,179.9,165.2,142.0,68.47,1.51,13.95,38.0,21.2,70.2,27.99,0.48,18.21,21.1,58.4,19.4
CHEM-TR-0010,img_train_0010_var07,train,312.05,180.6,165.2,142.5,68.56,1.86,13.81,36.0,21.2,70.6,27.89,0.968,1.12,23.2,37.0,6.6
CHEM-TR-0010,img_train_0010_var08,train,312.05,191.0,184.0,177.0,75.16,1.23,4.43,30.0,7.5,74.9,21.35,0.929,2.49,26.9,39.4,34.8
CHEM-TR-0010,img_train_0010_var09,train,312.05,179.4,164.8,141.9,68.32,1.54,13.8,36.0,21.2,70.2,28.11,0.508,17.22,28.0,33.3,20.9
CHEM-TR-0010,img_train_0010_var10,train,312.05,166.7,154.3,134.3,64.26,1.17,12.12,38.0,19.2,65.1,31.9,0.976,0.86,29.4,31.5,34.6
CHEM-TR-0011,img_train_0011_var01,train,1385.09,71.2,53.4,37.5,23.9,5.47,13.11,28.0,47.8,27.8,72.39,0.1,50.89,31.9,57.5,31.8
CHEM-TR-0011,img_train_0011_var02,train,1385.09,73.0,57.6,39.2,25.4,3.84,13.99,32.0,45.9,28.2,70.85,0.1,50.19,23.1,42.5,20.0
CHEM-TR-0011,img_train_0011_var03,train,1385.09,75.1,56.8,6.7,25.03,2.67,31.52,44.0,92.2,29.4,74.49,0.982,0.63,32.4,48.4,33.3
CHEM-TR-0011,img_train_0011_var05,train,1385.09,70.1,53.7,36.1,23.8,4.57,13.86,30.0,48.6,27.5,72.48,0.1,33.87,19.8,65.9,11.5
CHEM-TR-0011,img_train_0011_var06,train,1385.09,69.8,53.9,36.0,23.85,4.27,13.95,30.0,47.8,27.1,72.42,0.1,49.66,30.1,59.5,7.7
CHEM-TR-0011,img_train_0011_var07,train,1385.09,70.0,52.9,34.8,23.55,4.85,14.36,30.0,51.4,27.5,72.78,0.1,33.48,31.3,44.2,29.6
CHEM-TR-0011,img_train_0011_var09,train,1385.09,75.0,56.5,39.3,25.33,5.49,13.91,30.0,47.5,29.0,71.02,0.94,2.11,33.7,67.7,17.8
CHEM-TR-0011,img_train_0011_var10,train,1385.09,68.7,52.7,33.6,23.31,4.19,14.82,32.0,51.4,26.7,73.02,0.1,44.16,25.4,71.6,35.2
CHEM-TR-0012,img_train_0012_var01,train,0.0,244.7,239.2,222.5,94.53,-0.94,8.71,46.0,9.0,95.7,2.08,0.516,16.92,21.0,47.5,29.8
CHEM-TR-0012,img_train_0012_var02,train,0.0,242.9,239.2,222.8,94.4,-1.56,8.37,52.0,8.2,94.9,2.68,0.984,0.56,30.9,70.5,20.1
CHEM-TR-0012,img_train_0012_var05,train,0.0,243.3,238.9,222.4,94.34,-1.29,8.48,46.0,8.6,95.3,2.5,0.959,1.43,34.1,63.8,29.1
CHEM-TR-0012,img_train_0012_var06,train,0.0,244.7,240.0,222.3,94.73,-1.43,9.12,50.0,9.0,95.7,2.31,0.577,14.81,34.6,75.6,23.1
CHEM-TR-0012,img_train_0012_var07,train,0.0,246.1,240.7,223.7,95.03,-1.04,8.86,44.0,9.4,96.5,1.83,0.968,1.13,24.4,60.4,28.3
CHEM-TR-0012,img_train_0012_var09,train,0.0,244.7,240.1,222.6,94.75,-1.4,9.01,50.0,9.0,95.7,2.27,0.577,14.8,20.2,37.3,38.2
CHEM-TR-0012,img_train_0012_var10,train,0.0,245.7,242.5,226.9,95.53,-1.57,7.89,50.0,7.8,96.1,2.4,0.977,0.81,32.3,43.4,11.2
CHEM-TR-0013,img_train_0013_var01,train,789.6,117.0,97.8,75.6,42.76,4.21,15.51,32.0,36.1,45.9,53.76,0.1,41.7,32.8,51.5,37.1
CHEM-TR-0013,img_train_0013_var02,train,789.6,116.3,97.4,75.5,42.57,4.13,15.32,32.0,35.3,45.5,53.92,0.1,37.04,26.3,45.2,36.7
CHEM-TR-0013,img_train_0013_var03,train,789.6,111.9,93.9,72.6,41.05,3.9,14.94,32.0,35.3,43.5,55.37,0.1,45.56,23.2,44.4,34.0
CHEM-TR-0013,img_train_0013_var04,train,789.6,121.6,99.7,77.1,43.82,5.27,16.18,30.0,36.5,47.5,52.89,0.1,46.5,19.3,58.6,28.5
CHEM-TR-0013,img_train_0013_var05,train,789.6,115.1,96.8,74.5,42.26,3.81,15.47,32.0,35.7,45.1,54.23,0.959,1.43,33.3,52.8,31.6
CHEM-TR-0013,img_train_0013_var06,train,789.6,111.4,94.5,73.4,41.18,3.39,14.63,34.0,34.1,43.5,55.18,0.1,40.16,34.3,52.5,12.7
CHEM-TR-0013,img_train_0013_var07,train,789.6,111.2,94.0,72.4,41.0,3.5,14.94,32.0,35.3,43.5,55.4,0.1,32.5,27.0,54.5,27.8
CHEM-TR-0013,img_train_0013_var08,train,789.6,124.0,109.0,97.0,47.09,3.8,8.86,26.0,22.0,48.6,49.02,0.1,45.59,30.4,34.7,34.5
CHEM-TR-0013,img_train_0013_var09,train,789.6,111.6,94.2,73.9,41.14,3.7,14.26,34.0,34.1,43.5,55.2,0.1,32.63,26.6,57.6,13.0
CHEM-TR-0013,img_train_0013_var10,train,789.6,104.0,86.1,65.2,37.85,4.01,14.95,32.0,37.6,40.8,58.56,0.1,40.15,34.6,55.3,13.1
CHEM-TR-0014,img_train_0014_var01,train,140.02,210.6,200.8,181.2,81.19,0.11,11.01,40.0,13.7,82.4,14.95,0.595,14.17,30.7,68.2,27.7
CHEM-TR-0014,img_train_0014_var02,train,140.02,217.9,202.1,182.0,82.15,2.19,12.06,34.0,16.5,85.1,14.28,0.978,0.76,19.2,49.9,5.7
CHEM-TR-0014,img_train_0014_var03,train,140.02,211.6,201.6,190.7,81.71,1.56,6.69,32.0,9.8,82.7,14.51,0.981,0.65,20.3,36.2,26.6
CHEM-TR-0014,img_train_0014_var04,train,140.02,224.2,220.8,200.1,87.8,-2.34,10.56,50.0,10.6,87.8,8.82,0.995,0.17,24.3,67.7,34.7
CHEM-TR-0014,img_train_0014_var05,train,140.02,213.7,201.1,181.3,81.52,1.13,11.49,38.0,14.9,83.5,14.71,0.958,1.48,29.2,68.9,7.9
CHEM-TR-0014,img_train_0014_var06,train,140.02,210.5,200.6,181.3,81.14,0.2,10.91,40.0,13.7,82.4,14.99,0.615,13.46,26.7,46.5,35.5
CHEM-TR-0014,img_train_0014_var07,train,140.02,210.2,200.3,181.7,81.04,0.31,10.51,40.0,13.7,82.4,15.04,0.966,1.19,23.0,34.4,35.1
CHEM-TR-0014,img_train_0014_var09,train,140.02,210.7,200.8,181.4,81.22,0.18,10.93,40.0,13.7,82.4,14.91,0.665,11.74,33.5,38.1,38.4
CHEM-TR-0014,img_train_0014_var10,train,140.02,203.7,194.0,175.6,78.77,0.28,10.47,40.0,13.7,79.6,17.29,0.98,0.7,27.3,36.0,13.7
CHEM-TR-0015,img_train_0015_var01,train,1132.1,84.0,67.1,48.3,29.73,4.21,14.18,32.0,42.4,32.5,66.58,0.1,45.84,30.9,57.9,16.9
CHEM-TR-0015,img_train_0015_var02,train,1132.1,86.9,71.2,51.0,31.33,3.42,14.64,34.0,40.8,33.7,64.98,0.1,45.76,21.7,35.6,13.7
CHEM-TR-0015,img_train_0015_var03,train,1132.1,90.0,81.7,121.0,37.01,12.63,-21.06,254.0,32.5,47.1,67.31,0.984,0.55,27.8,34.6,9.7
CHEM-TR-0015,img_train_0015_var05,train,1132.1,88.3,69.6,48.8,30.98,4.74,15.58,32.0,45.5,34.5,65.49,0.963,1.28,19.1,55.9,23.0
CHEM-TR-0015,img_train_0015_var06,train,1132.1,84.5,66.8,48.3,29.71,4.67,14.13,30.0,42.7,32.9,66.62,0.1,51.61,26.9,43.4,26.5
CHEM-TR-0015,img_train_0015_var07,train,1132.1,83.3,66.2,46.8,29.34,4.34,14.58,32.0,44.7,32.5,67.0,0.1,37.71,24.6,54.4,6.0
CHEM-TR-0015,img_train_0015_var08,train,1132.1,93.0,80.0,64.0,34.87,2.62,11.44,34.0,31.4,36.5,61.22,0.1,53.29,30.6,57.4,20.0
CHEM-TR-0015,img_train_0015_var09,train,1132.1,83.9,66.4,47.6,29.51,4.52,14.3,32.0,43.5,32.5,66.82,0.1,40.09,26.9,48.3,28.8
CHEM-TR-0015,img_train_0015_var10,train,1132.1,76.2,59.1,39.8,26.26,4.52,14.78,32.0,48.6,29.8,70.09,0.1,41.15,25.3,72.3,28.4
CHEM-TR-0016,img_train_0016_var01,train,918.76,106.3,86.5,64.8,38.2,4.77,15.68,32.0,39.6,41.6,58.34,0.1,50.53,28.6,38.4,35.6
CHEM-TR-0016,img_train_0016_var02,train,918.76,104.1,86.5,64.9,37.97,3.75,15.27,34.0,38.4,40.8,58.46,0.98,0.71,32.3,49.9,5.5
CHEM-TR-0016,img_train_0016_var03,train,918.76,105.0,85.7,38.3,37.4,1.76,30.07,42.0,63.5,40.8,62.29,0.982,0.63,30.2,49.3,28.0
CHEM-TR-0016,img_train_0016_var04,train,918.76,109.8,87.0,63.8,38.71,5.86,17.04,32.0,42.4,42.7,58.1,0.1,51.07,28.9,39.3,35.7
CHEM-TR-0016,img_train_0016_var05,train,918.76,101.2,82.5,62.1,36.44,4.47,14.89,30.0,38.4,39.6,59.98,0.201,27.98,31.0,35.9,5.7
CHEM-TR-0016,img_train_0016_var06,train,918.76,101.2,82.7,62.7,36.52,4.46,14.62,30.0,38.4,39.6,59.88,0.1,45.47,24.1,42.3,10.3
CHEM-TR-0016,img_train_0016_var07,train,918.76,100.0,81.6,60.6,36.02,4.33,15.22,32.0,40.0,39.2,60.42,0.1,33.22,25.8,33.2,28.7
CHEM-TR-0016,img_train_0016_var08,train,918.76,107.0,94.0,79.0,40.73,2.62,10.53,32.0,26.3,42.0,55.33,0.1,39.73,34.8,34.7,20.1
CHEM-TR-0016,img_train_0016_var09,train,918.76,99.6,82.8,61.8,36.34,3.61,14.91,34.0,38.4,38.8,60.03,0.1,38.01,22.7,77.8,19.5
CHEM-TR-0016,img_train_0016_var10,train,918.76,92.7,75.2,55.1,33.24,4.15,14.77,32.0,40.4,36.1,63.13,0.1,37.77,32.5,55.1,13.3
CHEM-TR-0017,img_train_0017_var02,train,1599.59,60.6,44.3,31.2,19.64,5.41,11.39,26.0,48.2,23.5,76.56,0.1,49.19,25.8,61.9,10.9
CHEM-TR-0017,img_train_0017_var05,train,1599.59,65.5,46.9,32.9,21.11,6.36,12.32,26.0,50.6,25.5,75.19,0.963,1.31,32.7,36.9,27.4
CHEM-TR-0017,img_train_0017_var07,train,1599.59,64.7,47.6,31.2,21.21,5.25,13.52,30.0,51.4,25.1,75.08,0.967,1.14,34.2,46.5,23.4
CHEM-TR-0017,img_train_0017_var08,train,1599.59,68.0,54.0,41.0,23.76,4.01,10.53,28.0,39.6,26.7,72.34,0.1,50.87,24.2,35.9,38.7
CHEM-TR-0017,img_train_0017_var09,train,1599.59,64.5,47.2,31.6,21.03,5.49,13.03,30.0,51.4,25.1,75.24,0.918,2.89,29.1,36.7,9.8
CHEM-TR-0017,img_train_0017_var10,train,1599.59,52.7,36.5,22.1,15.99,5.54,12.6,28.0,57.6,20.4,80.25,0.1,52.22,21.3,79.5,18.6
CHEM-TR-0018,img_train_0018_var01,train,918.09,105.6,86.9,64.3,38.23,4.1,16.07,32.0,39.2,41.2,58.31,0.984,0.57,19.4,73.6,13.0
CHEM-TR-0018,img_train_0018_var02,train,918.09,100.9,83.4,63.0,36.68,3.96,14.63,32.0,36.9,39.2,59.69,0.1,43.93,22.7,43.0,6.6
CHEM-TR-0018,img_train_0018_var03,train,918.09,100.7,82.7,61.2,36.41,4.08,15.39,32.0,38.8,39.2,60.04,0.1,48.64,19.2,65.6,29.3
CHEM-TR-0018,img_train_0018_var04,train,918.09,104.1,82.5,61.5,36.73,5.75,15.71,30.0,41.2,40.8,59.88,0.1,53.72,21.9,53.3,25.8
CHEM-TR-0018,img_train_0018_var05,train,918.09,104.7,85.5,63.6,37.7,4.45,15.75,32.0,39.6,40.8,58.82,0.96,1.41,33.9,34.2,27.2
CHEM-TR-0018,img_train_0018_var06,train,918.09,100.9,83.0,62.7,36.57,4.13,14.72,34.0,38.0,39.2,59.81,0.1,37.83,24.4,54.0,26.6
CHEM-TR-0018,img_train_0018_var07,train,918.09,104.4,84.9,63.5,37.51,4.64,15.55,30.0,39.6,40.8,59.0,0.152,29.67,22.8,66.7,14.4
CHEM-TR-0018,img_train_0018_var08,train,918.09,107.0,92.0,78.0,40.13,3.66,10.31,28.0,27.1,42.0,55.97,0.1,38.67,21.1,72.7,8.0
CHEM-TR-0018,img_train_0018_var09,train,918.09,105.2,86.5,63.8,38.06,4.11,16.07,32.0,40.0,41.2,58.48,0.953,1.63,25.3,31.7,27.0
CHEM-TR-0018,img_train_0018_var10,train,918.09,95.1,77.4,56.6,34.19,4.12,15.13,32.0,41.2,37.3,62.22,0.1,36.33,34.9,46.8,7.5
CHEM-TR-0019,img_train_0019_var01,train,971.42,96.4,77.6,59.5,34.44,5.02,13.72,30.0,38.4,37.6,61.91,0.1,49.31,34.5,78.1,27.6
CHEM-TR-0019,img_train_0019_var02,train,971.42,95.9,77.6,58.3,34.35,4.63,14.29,30.0,38.8,37.3,62.01,0.1,40.08,28.6,32.5,35.6
