image_id,chemical_state_id,split,dose_ppm_min,base_strip_r,base_strip_g,base_strip_b,lighting_condition,lighting_factor,tint_r,tint_g,tint_b,noise_sigma,blur_ksize,rotation_deg,temperature_c,humidity_pct,strip_age_days,image_path
img_train_0004_var02,CHEM-TR-0004,train,1804.36,60,43,29,warm_tungsten,0.913,1.174,0.979,0.822,1.12,0,1.32,26.7,31.0,35.8,synthetic_wristband_dataset\train\img_train_0004_var02.png
img_train_0004_var03,CHEM-TR-0004,train,1804.36,60,43,29,cool_fluorescent,1.034,0.877,0.992,1.133,0.89,0,-1.54,23.0,61.6,35.6,synthetic_wristband_dataset\train\img_train_0004_var03.png
img_train_0004_var04,CHEM-TR-0004,train,1804.36,60,43,29,bright_diffuse,1.234,1.007,1.004,1.013,0.22,0,0.6,29.3,54.6,24.3,synthetic_wristband_dataset\train\img_train_0004_var04.png
img_train_0004_var05,CHEM-TR-0004,train,1804.36,60,43,29,dim_underexposed,0.709,0.938,0.958,0.94,2.33,0,-0.7,25.7,41.3,25.2,synthetic_wristband_dataset\train\img_train_0004_var05.png
img_train_0004_var06,CHEM-TR-0004,train,1804.36,60,43,29,mild_camera_blur,1.003,0.985,0.985,1.003,1.14,3,-0.07,21.6,73.7,34.7,synthetic_wristband_dataset\train\img_train_0004_var06.png
img_train_0004_var07,CHEM-TR-0004,train,1804.36,60,43,29,warm_dim_light,0.791,1.14,0.977,0.845,1.91,0,1.79,29.2,55.6,19.4,synthetic_wristband_dataset\train\img_train_0004_var07.png
img_train_0004_var08,CHEM-TR-0004,train,1804.36,60,43,29,cool_bright_light,1.178,0.911,0.985,1.113,0.51,0,-1.99,19.5,39.8,9.0,synthetic_wristband_dataset\train\img_train_0004_var08.png
img_train_0004_var09,CHEM-TR-0004,train,1804.36,60,43,29,high_sensor_noise,0.899,0.989,0.991,1.013,2.86,0,0.34,24.7,66.5,33.7,synthetic_wristband_dataset\train\img_train_0004_var09.png
img_train_0004_var10,CHEM-TR-0004,train,1804.36,60,43,29,mild_angle_shift,0.991,1.041,0.976,0.966,0.85,0,2.77,31.2,55.0,33.6,synthetic_wristband_dataset\train\img_train_0004_var10.png
img_train_0005_var01,CHEM-TR-0005,train,811.46,115,96,74,neutral_daylight,0.972,0.989,1.006,0.994,0.65,0,-0.24,21.5,35.9,19.2,synthetic_wristband_dataset\train\img_train_0005_var01.png
img_train_0005_var02,CHEM-TR-0005,train,811.46,115,96,74,warm_tungsten,0.902,1.169,0.979,0.833,1.19,0,1.14,30.8,73.1,19.7,synthetic_wristband_dataset\train\img_train_0005_var02.png
img_train_0005_var03,CHEM-TR-0005,train,811.46,115,96,74,cool_fluorescent,1.044,0.885,0.969,1.145,0.73,0,-1.41,22.7,67.5,11.9,synthetic_wristband_dataset\train\img_train_0005_var03.png
img_train_0005_var04,CHEM-TR-0005,train,811.46,115,96,74,bright_diffuse,1.226,1.03,1.006,1.005,0.32,0,0.39,24.6,54.2,33.8,synthetic_wristband_dataset\train\img_train_0005_var04.png
img_train_0005_var05,CHEM-TR-0005,train,811.46,115,96,74,dim_underexposed,0.725,0.966,0.939,0.953,2.23,0,-0.53,34.7,69.2,25.2,synthetic_wristband_dataset\train\img_train_0005_var05.png
img_train_0005_var06,CHEM-TR-0005,train,811.46,115,96,74,mild_camera_blur,0.981,1.019,1.019,0.991,1.32,3,-0.09,32.1,57.5,31.4,synthetic_wristband_dataset\train\img_train_0005_var06.png
img_train_0005_var07,CHEM-TR-0005,train,811.46,115,96,74,warm_dim_light,0.787,1.157,0.969,0.866,1.7,0,2.13,29.2,34.0,29.7,synthetic_wristband_dataset\train\img_train_0005_var07.png
img_train_0005_var08,CHEM-TR-0005,train,811.46,115,96,74,cool_bright_light,1.158,0.906,0.978,1.098,0.58,0,-2.35,30.9,76.6,18.8,synthetic_wristband_dataset\train\img_train_0005_var08.png
img_train_0005_var09,CHEM-TR-0005,train,811.46,115,96,74,high_sensor_noise,0.885,0.991,1.017,1.007,2.95,0,0.22,21.8,71.2,8.6,synthetic_wristband_dataset\train\img_train_0005_var09.png
img_train_0005_var10,CHEM-TR-0005,train,811.46,115,96,74,mild_angle_shift,1.024,1.035,0.989,0.953,1.12,0,2.64,24.3,65.8,22.5,synthetic_wristband_dataset\train\img_train_0005_var10.png
img_train_0006_var01,CHEM-TR-0006,train,978.87,101,82,61,neutral_daylight,1.012,1.007,1.001,0.989,0.41,0,0.04,33.6,79.4,20.6,synthetic_wristband_dataset\train\img_train_0006_var01.png
img_train_0006_var02,CHEM-TR-0006,train,978.87,101,82,61,warm_tungsten,0.911,1.172,0.94,0.826,1.04,0,0.94,24.2,44.0,32.0,synthetic_wristband_dataset\train\img_train_0006_var02.png
img_train_0006_var03,CHEM-TR-0006,train,978.87,101,82,61,cool_fluorescent,1.035,0.879,0.993,1.131,0.7,0,-1.55,26.1,71.4,30.8,synthetic_wristband_dataset\train\img_train_0006_var03.png
img_train_0006_var04,CHEM-TR-0006,train,978.87,101,82,61,bright_diffuse,1.2,1.007,1.015,1.022,0.45,0,0.8,30.3,39.3,38.6,synthetic_wristband_dataset\train\img_train_0006_var04.png
img_train_0006_var05,CHEM-TR-0006,train,978.87,101,82,61,dim_underexposed,0.736,0.936,0.957,0.969,2.3,0,-0.7,24.5,46.1,9.7,synthetic_wristband_dataset\train\img_train_0006_var05.png
img_train_0006_var06,CHEM-TR-0006,train,978.87,101,82,61,mild_camera_blur,1.01,1.013,1.013,0.981,1.37,3,-0.26,28.4,31.0,17.6,synthetic_wristband_dataset\train\img_train_0006_var06.png
img_train_0006_var07,CHEM-TR-0006,train,978.87,101,82,61,warm_dim_light,0.782,1.167,0.963,0.85,1.65,0,2.2,24.9,41.2,4.7,synthetic_wristband_dataset\train\img_train_0006_var07.png
img_train_0006_var08,CHEM-TR-0006,train,978.87,101,82,61,cool_bright_light,1.137,0.908,0.983,1.112,0.45,0,-2.01,19.8,71.7,12.1,synthetic_wristband_dataset\train\img_train_0006_var08.png
img_train_0006_var09,CHEM-TR-0006,train,978.87,101,82,61,high_sensor_noise,0.883,0.999,0.995,0.994,2.8,0,0.37,34.2,50.3,33.8,synthetic_wristband_dataset\train\img_train_0006_var09.png
img_train_0006_var10,CHEM-TR-0006,train,978.87,101,82,61,mild_angle_shift,0.996,1.051,0.982,0.976,1.18,0,2.88,22.0,41.2,21.5,synthetic_wristband_dataset\train\img_train_0006_var10.png
img_train_0007_var01,CHEM-TR-0007,train,373.46,170,154,130,neutral_daylight,0.979,0.986,0.995,0.99,0.56,0,-0.03,32.4,65.0,24.6,synthetic_wristband_dataset\train\img_train_0007_var01.png
img_train_0007_var02,CHEM-TR-0007,train,373.46,170,154,130,warm_tungsten,0.939,1.194,0.968,0.805,0.94,0,1.3,30.8,45.5,21.8,synthetic_wristband_dataset\train\img_train_0007_var02.png
img_train_0007_var03,CHEM-TR-0007,train,373.46,170,154,130,cool_fluorescent,1.04,0.862,1.0,1.131,0.67,0,-1.45,34.8,31.7,36.4,synthetic_wristband_dataset\train\img_train_0007_var03.png
img_train_0007_var04,CHEM-TR-0007,train,373.46,170,154,130,bright_diffuse,1.234,1.036,1.004,1.036,0.37,0,0.56,22.2,55.3,22.9,synthetic_wristband_dataset\train\img_train_0007_var04.png
img_train_0007_var05,CHEM-TR-0007,train,373.46,170,154,130,dim_underexposed,0.731,0.955,0.934,0.947,2.23,0,-1.0,26.4,33.2,25.8,synthetic_wristband_dataset\train\img_train_0007_var05.png
img_train_0007_var06,CHEM-TR-0007,train,373.46,170,154,130,mild_camera_blur,1.001,1.003,1.015,1.008,1.26,3,-0.23,25.1,58.3,19.6,synthetic_wristband_dataset\train\img_train_0007_var06.png
img_train_0007_var07,CHEM-TR-0007,train,373.46,170,154,130,warm_dim_light,0.827,1.155,0.978,0.841,2.0,0,1.87,24.1,41.1,38.1,synthetic_wristband_dataset\train\img_train_0007_var07.png
img_train_0007_var08,CHEM-TR-0007,train,373.46,170,154,130,cool_bright_light,1.142,0.937,0.972,1.105,0.76,0,-2.32,19.4,49.2,10.3,synthetic_wristband_dataset\train\img_train_0007_var08.png
img_train_0007_var09,CHEM-TR-0007,train,373.46,170,154,130,high_sensor_noise,0.914,1.0,1.005,1.014,2.84,0,0.43,22.2,36.0,30.0,synthetic_wristband_dataset\train\img_train_0007_var09.png
img_train_0007_var10,CHEM-TR-0007,train,373.46,170,154,130,mild_angle_shift,1.006,1.021,0.963,0.945,0.81,0,2.66,24.8,56.5,29.5,synthetic_wristband_dataset\train\img_train_0007_var10.png
img_train_0008_var01,CHEM-TR-0008,train,260.45,189,176,152,neutral_daylight,1.027,0.992,1.002,1.0,0.66,0,0.23,31.8,76.1,4.9,synthetic_wristband_dataset\train\img_train_0008_var01.png
img_train_0008_var02,CHEM-TR-0008,train,260.45,189,176,152,warm_tungsten,0.941,1.165,0.95,0.839,1.19,0,1.06,28.0,45.9,19.9,synthetic_wristband_dataset\train\img_train_0008_var02.png
img_train_0008_var03,CHEM-TR-0008,train,260.45,189,176,152,cool_fluorescent,1.067,0.866,0.99,1.15,0.92,0,-1.66,26.5,38.2,21.8,synthetic_wristband_dataset\train\img_train_0008_var03.png
img_train_0008_var04,CHEM-TR-0008,train,260.45,189,176,152,bright_diffuse,1.24,1.002,1.019,1.001,0.19,0,0.78,33.4,64.3,23.0,synthetic_wristband_dataset\train\img_train_0008_var04.png
img_train_0008_var05,CHEM-TR-0008,train,260.45,189,176,152,dim_underexposed,0.724,0.94,0.965,0.956,2.37,0,-1.05,20.0,61.1,5.2,synthetic_wristband_dataset\train\img_train_0008_var05.png
img_train_0008_var06,CHEM-TR-0008,train,260.45,189,176,152,mild_camera_blur,1.008,0.997,1.003,0.989,1.03,3,-0.13,25.5,40.7,35.8,synthetic_wristband_dataset\train\img_train_0008_var06.png
img_train_0008_var07,CHEM-TR-0008,train,260.45,189,176,152,warm_dim_light,0.812,1.143,0.998,0.863,1.98,0,1.98,30.6,44.7,38.2,synthetic_wristband_dataset\train\img_train_0008_var07.png
img_train_0008_var08,CHEM-TR-0008,train,260.45,189,176,152,cool_bright_light,1.147,0.936,0.97,1.108,0.61,0,-1.96,31.8,70.2,18.7,synthetic_wristband_dataset\train\img_train_0008_var08.png
img_train_0008_var09,CHEM-TR-0008,train,260.45,189,176,152,high_sensor_noise,0.903,1.02,1.0,0.996,3.15,0,0.3,32.3,31.0,8.5,synthetic_wristband_dataset\train\img_train_0008_var09.png
img_train_0008_var10,CHEM-TR-0008,train,260.45,189,176,152,mild_angle_shift,0.995,1.034,0.976,0.944,1.16,0,2.57,27.2,67.4,6.4,synthetic_wristband_dataset\train\img_train_0008_var10.png
img_train_0009_var01,CHEM-TR-0009,train,1453.9,72,55,38,neutral_daylight,1.019,1.006,0.987,0.985,0.55,0,0.27,30.0,31.6,16.9,synthetic_wristband_dataset\train\img_train_0009_var01.png
img_train_0009_var02,CHEM-TR-0009,train,1453.9,72,55,38,warm_tungsten,0.95,1.162,0.947,0.834,1.09,0,1.37,28.0,77.8,17.3,synthetic_wristband_dataset\train\img_train_0009_var02.png
img_train_0009_var03,CHEM-TR-0009,train,1453.9,72,55,38,cool_fluorescent,1.06,0.867,0.985,1.141,0.83,0,-1.34,22.4,59.6,19.7,synthetic_wristband_dataset\train\img_train_0009_var03.png
img_train_0009_var04,CHEM-TR-0009,train,1453.9,72,55,38,bright_diffuse,1.207,1.037,1.016,1.011,0.22,0,0.74,20.1,79.9,13.0,synthetic_wristband_dataset\train\img_train_0009_var04.png
img_train_0009_var05,CHEM-TR-0009,train,1453.9,72,55,38,dim_underexposed,0.734,0.933,0.947,0.959,2.37,0,-0.62,19.6,57.9,27.2,synthetic_wristband_dataset\train\img_train_0009_var05.png
img_train_0009_var06,CHEM-TR-0009,train,1453.9,72,55,38,mild_camera_blur,1.002,1.014,1.011,0.999,1.04,3,-0.04,25.2,30.5,11.9,synthetic_wristband_dataset\train\img_train_0009_var06.png
img_train_0009_var07,CHEM-TR-0009,train,1453.9,72,55,38,warm_dim_light,0.808,1.158,0.966,0.864,1.78,0,2.09,33.3,32.7,16.6,synthetic_wristband_dataset\train\img_train_0009_var07.png
img_train_0009_var08,CHEM-TR-0009,train,1453.9,72,55,38,cool_bright_light,1.159,0.911,0.987,1.119,0.65,0,-2.03,24.9,56.2,6.7,synthetic_wristband_dataset\train\img_train_0009_var08.png
img_train_0009_var09,CHEM-TR-0009,train,1453.9,72,55,38,high_sensor_noise,0.877,1.01,1.006,1.016,3.18,0,0.57,32.5,71.3,24.0,synthetic_wristband_dataset\train\img_train_0009_var09.png
img_train_0009_var10,CHEM-TR-0009,train,1453.9,72,55,38,mild_angle_shift,1.005,1.055,0.995,0.98,0.86,0,2.55,27.5,37.8,34.6,synthetic_wristband_dataset\train\img_train_0009_var10.png
img_train_0010_var01,CHEM-TR-0010,train,312.05,180,165,142,neutral_daylight,0.997,1.006,1.008,0.995,0.64,0,-0.07,20.9,50.4,13.8,synthetic_wristband_dataset\train\img_train_0010_var01.png
img_train_0010_var02,CHEM-TR-0010,train,312.05,180,165,142,warm_tungsten,0.917,1.163,0.948,0.822,0.88,0,1.39,24.3,38.3,16.2,synthetic_wristband_dataset\train\img_train_0010_var02.png
img_train_0010_var03,CHEM-TR-0010,train,312.05,180,165,142,cool_fluorescent,1.078,0.88,0.97,1.131,0.89,0,-1.64,27.2,77.5,10.9,synthetic_wristband_dataset\train\img_train_0010_var03.png
img_train_0010_var04,CHEM-TR-0010,train,312.05,180,165,142,bright_diffuse,1.218,1.034,1.001,1.005,0.21,0,0.59,22.8,49.6,34.7,synthetic_wristband_dataset\train\img_train_0010_var04.png
img_train_0010_var05,CHEM-TR-0010,train,312.05,180,165,142,dim_underexposed,0.722,0.95,0.969,0.966,2.12,0,-0.92,24.8,70.5,24.5,synthetic_wristband_dataset\train\img_train_0010_var05.png
img_train_0010_var06,CHEM-TR-0010,train,312.05,180,165,142,mild_camera_blur,0.974,1.013,1.009,0.993,1.23,3,-0.12,21.1,58.4,19.4,synthetic_wristband_dataset\train\img_train_0010_var06.png
img_train_0010_var07,CHEM-TR-0010,train,312.05,180,165,142,warm_dim_light,0.778,1.151,0.979,0.83,1.76,0,2.26,23.2,37.0,6.6,synthetic_wristband_dataset\train\img_train_0010_var07.png
img_train_0010_var08,CHEM-TR-0010,train,312.05,180,165,142,cool_bright_light,1.143,0.934,0.979,1.097,0.53,0,-2.09,26.9,39.4,34.8,synthetic_wristband_dataset\train\img_train_0010_var08.png
img_train_0010_var09,CHEM-TR-0010,train,312.05,180,165,142,high_sensor_noise,0.895,0.989,0.991,1.0,3.06,0,0.04,28.0,33.3,20.9,synthetic_wristband_dataset\train\img_train_0010_var09.png
img_train_0010_var10,CHEM-TR-0010,train,312.05,180,165,142,mild_angle_shift,1.041,1.047,0.97,0.958,0.89,0,2.67,29.4,31.5,34.6,synthetic_wristband_dataset\train\img_train_0010_var10.png
img_train_0011_var01,CHEM-TR-0011,train,1385.09,76,58,40,neutral_daylight,0.978,0.998,1.007,0.991,0.63,0,0.0,31.9,57.5,31.8,synthetic_wristband_dataset\train\img_train_0011_var01.png
img_train_0011_var02,CHEM-TR-0011,train,1385.09,76,58,40,warm_tungsten,0.931,1.179,0.971,0.813,1.02,0,1.38,23.1,42.5,20.0,synthetic_wristband_dataset\train\img_train_0011_var02.png
img_train_0011_var03,CHEM-TR-0011,train,1385.09,76,58,40,cool_fluorescent,1.057,0.88,0.987,1.155,0.89,0,-1.39,32.4,48.4,33.3,synthetic_wristband_dataset\train\img_train_0011_var03.png
img_train_0011_var04,CHEM-TR-0011,train,1385.09,76,58,40,bright_diffuse,1.236,1.018,1.027,1.027,0.41,0,0.24,24.6,72.1,18.1,synthetic_wristband_dataset\train\img_train_0011_var04.png
img_train_0011_var05,CHEM-TR-0011,train,1385.09,76,58,40,dim_underexposed,0.696,0.945,0.948,0.964,2.33,0,-0.97,19.8,65.9,11.5,synthetic_wristband_dataset\train\img_train_0011_var05.png
img_train_0011_var06,CHEM-TR-0011,train,1385.09,76,58,40,mild_camera_blur,0.978,1.007,1.016,1.012,1.16,3,0.03,30.1,59.5,7.7,synthetic_wristband_dataset\train\img_train_0011_var06.png
img_train_0011_var07,CHEM-TR-0011,train,1385.09,76,58,40,warm_dim_light,0.786,1.152,0.994,0.834,1.94,0,2.15,31.3,44.2,29.6,synthetic_wristband_dataset\train\img_train_0011_var07.png
img_train_0011_var08,CHEM-TR-0011,train,1385.09,76,58,40,cool_bright_light,1.175,0.905,0.998,1.083,0.46,0,-1.91,26.3,68.2,20.1,synthetic_wristband_dataset\train\img_train_0011_var08.png
img_train_0011_var09,CHEM-TR-0011,train,1385.09,76,58,40,high_sensor_noise,0.927,0.988,1.0,1.008,3.17,0,0.13,33.7,67.7,17.8,synthetic_wristband_dataset\train\img_train_0011_var09.png
img_train_0011_var10,CHEM-TR-0011,train,1385.09,76,58,40,mild_angle_shift,1.011,1.041,0.999,0.964,1.08,0,2.65,25.4,71.6,35.2,synthetic_wristband_dataset\train\img_train_0011_var10.png
img_train_0012_var01,CHEM-TR-0012,train,0.0,245,240,222,neutral_daylight,1.017,0.993,1.016,0.982,0.54,0,-0.04,21.0,47.5,29.8,synthetic_wristband_dataset\train\img_train_0012_var01.png
img_train_0012_var02,CHEM-TR-0012,train,0.0,245,240,222,warm_tungsten,0.946,1.161,0.961,0.817,0.81,0,1.32,30.9,70.5,20.1,synthetic_wristband_dataset\train\img_train_0012_var02.png
img_train_0012_var03,CHEM-TR-0012,train,0.0,245,240,222,cool_fluorescent,1.041,0.867,0.994,1.135,0.92,0,-1.66,20.1,32.2,26.2,synthetic_wristband_dataset\train\img_train_0012_var03.png
img_train_0012_var04,CHEM-TR-0012,train,0.0,245,240,222,bright_diffuse,1.218,1.014,1.031,1.036,0.47,0,0.54,26.7,44.8,6.2,synthetic_wristband_dataset\train\img_train_0012_var04.png
img_train_0012_var05,CHEM-TR-0012,train,0.0,245,240,222,dim_underexposed,0.729,0.944,0.947,0.958,2.03,0,-1.05,34.1,63.8,29.1,synthetic_wristband_dataset\train\img_train_0012_var05.png
img_train_0012_var06,CHEM-TR-0012,train,0.0,245,240,222,mild_camera_blur,0.983,1.009,0.999,0.981,1.33,3,-0.24,34.6,75.6,23.1,synthetic_wristband_dataset\train\img_train_0012_var06.png
img_train_0012_var07,CHEM-TR-0012,train,0.0,245,240,222,warm_dim_light,0.809,1.152,0.963,0.833,1.75,0,1.92,24.4,60.4,28.3,synthetic_wristband_dataset\train\img_train_0012_var07.png
img_train_0012_var08,CHEM-TR-0012,train,0.0,245,240,222,cool_bright_light,1.125,0.9,0.992,1.107,0.76,0,-2.32,20.9,79.5,19.6,synthetic_wristband_dataset\train\img_train_0012_var08.png
img_train_0012_var09,CHEM-TR-0012,train,0.0,245,240,222,high_sensor_noise,0.905,1.016,1.007,0.998,2.97,0,0.16,20.2,37.3,38.2,synthetic_wristband_dataset\train\img_train_0012_var09.png
img_train_0012_var10,CHEM-TR-0012,train,0.0,245,240,222,mild_angle_shift,1.003,1.059,0.979,0.96,0.86,0,2.65,32.3,43.4,11.2,synthetic_wristband_dataset\train\img_train_0012_var10.png
img_train_0013_var01,CHEM-TR-0013,train,789.6,117,98,76,neutral_daylight,1.023,1.008,0.994,0.986,0.36,0,-0.27,32.8,51.5,37.1,synthetic_wristband_dataset\train\img_train_0013_var01.png
img_train_0013_var02,CHEM-TR-0013,train,789.6,117,98,76,warm_tungsten,0.902,1.17,0.946,0.825,1.08,0,1.45,26.3,45.2,36.7,synthetic_wristband_dataset\train\img_train_0013_var02.png
img_train_0013_var03,CHEM-TR-0013,train,789.6,117,98,76,cool_fluorescent,1.031,0.887,0.966,1.159,0.89,0,-1.25,23.2,44.4,34.0,synthetic_wristband_dataset\train\img_train_0013_var03.png
img_train_0013_var04,CHEM-TR-0013,train,789.6,117,98,76,bright_diffuse,1.226,1.023,1.035,1.018,0.3,0,0.46,19.3,58.6,28.5,synthetic_wristband_dataset\train\img_train_0013_var04.png
img_train_0013_var05,CHEM-TR-0013,train,789.6,117,98,76,dim_underexposed,0.724,0.942,0.966,0.95,2.3,0,-0.68,33.3,52.8,31.6,synthetic_wristband_dataset\train\img_train_0013_var05.png
img_train_0013_var06,CHEM-TR-0013,train,789.6,117,98,76,mild_camera_blur,1.028,1.015,0.995,0.986,1.39,3,-0.26,34.3,52.5,12.7,synthetic_wristband_dataset\train\img_train_0013_var06.png
img_train_0013_var07,CHEM-TR-0013,train,789.6,117,98,76,warm_dim_light,0.826,1.142,0.97,0.843,1.65,0,1.83,27.0,54.5,27.8,synthetic_wristband_dataset\train\img_train_0013_var07.png
img_train_0013_var08,CHEM-TR-0013,train,789.6,117,98,76,cool_bright_light,1.14,0.933,0.976,1.119,0.76,0,-2.24,30.4,34.7,34.5,synthetic_wristband_dataset\train\img_train_0013_var08.png
